Service & Sales Workers,50-54,13.7,14.4,18.1,20.5,20.4,18.3,19.5,19.1,18.6,17.3,18.7,18.3,17.7,14.8,15.1,15.3,15.1,12.1,12.4,10.6,10.5,8.9
Craftsmen & Related Trade Workers,50-54,1.2,1.1,1.1,0.7,1.6,1.1,1.5,1.6,1.3,1.3,1.4,1.6,1.6,1.9,2,1.5,1.5,1.9,1.5,1.5,1.2,1.2
Plant & Machine Operators & Assemblers,50-54,2.2,2.8,2.1,2.1,3.5,2.6,3.8,4,4.8,4.6,4.9,4.9,6.2,5.4,6.5,6.3,5.8,6.8,7.1,6.5,5.7,4.8
"Cleaners, Labourers & Related Workers",50-54,9.3,7.8,9.8,10.2,11.7,13.4,14.1,14.3,17.2,14.4,13.7,16,15.2,14.9,15.9,14.8,10.3,11.8,11.9,11.6,12.4,9.9
Others,50-54,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.,0.2,0.1,0.1,0.,0.1,0.1,0.,0.,0.,0.1,0.1
Managers & Administrators (Including Working Proprietors),55-59,15.1,11,12,12.3,9,8.8,9.2,10.1,9.3,8.3,7.6,7.8,7.8,6.5,4.7,4,3.1,2.7,2,1.8,1,1.1
Professionals,55-59,13.7,12.1,11,11.4,10.3,8.3,8.5,9.1,6.4,7.9,6.3,5.1,5.8,4.1,4.3,4.8,2.8,3.9,3.8,3,2.8,1.9
Associate Professionals & Technicians,55-59,17.9,14.9,14.3,13.9,14.9,12.4,12.6,10.3,10.9,10.6,8.5,8,5.8,4.6,4.9,5.1,3.3,3,2.5,2,1.6,1.5
Clerical Support Workers,55-59,21.3,21.4,20.7,22,18.9,20.6,19.7,21.6,23.6,19.9,17.4,16.6,13.8,10.9,9.4,9.6,6.7,6.1,5.5,4.3,2.5,2
Service & Sales Workers,55-59,16,16.8,18.9,18,16.4,16,18.4,15.6,16.2,13.6,13.6,13.8,12.8,9.7,9.8,9.1,9,7.5,4.8,6.1,5.1,3.9
Craftsmen & Related Trade Workers,55-59,1.2,1.2,1.4,1.7,1.1,1.4,2,1.9,1.5,1.4,1.2,1.3,1,1.4,1.2,1.4,1,0.8,0.7,0.7,0.7,0.5
Plant & Machine Operators & Assemblers,55-59,1.9,3,2.8,3,2.7,2.8,3.4,3,2.9,3.4,3.7,3.9,3.2,3.5,4.1,2.8,2.5,2.9,2,2.5,1.9,1.6
"Cleaners, Labourers & Related Workers",55-59,12.3,13.2,15,16.4,15.5,14.4,17.9,18.2,18.6,15.6,15.7,15.7,15.5,13.6,14.1,13.8,9.3,9.9,8.6,8.2,7.2,6
Others,55-59,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.1,0.,0.,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,0.
Managers & Administrators (Including Working Proprietors),60-64,7.7,9,6.6,6.7,5,5.5,4.6,4.7,4.3,4.5,4.1,3,3,2,2,1.7,0.8,1,0.7,0.8,0.9,0.6
Professionals,60-64,7.2,7.2,6,5.2,5.7,4,4.2,3.7,3.5,2.8,2.9,2.3,2.6,2.3,1.3,1.7,0.5,0.7,0.9,0.9,0.6,0.4
Associate Professionals & Technicians,60-64,11.9,11.8,9.3,6.9,8.5,6,6.6,5.3,5.2,3.6,3.3,3,2.8,2.1,2.4,1.8,1.1,0.5,0.8,0.6,0.6,0.6
Clerical Support Workers,60-64,18.3,18.3,16.8,15.1,13.8,13.7,11.8,13.2,12,10.4,7.4,7.3,6.3,4.4,4.2,2.4,1,0.7,1.2,1,0.9,0.5
Service & Sales Workers,60-64,14.2,15.8,16.4,13.5,14.3,13.7,13.5,11.4,11.3,9.8,9.4,8.3,6.5,6.4,5.1,3.5,2.9,2.6,2.6,2.4,2.5,1.9
Craftsmen & Related Trade Workers,60-64,1.6,1.5,1.1,0.8,1.4,1.4,1.3,0.8,0.7,0.7,1,0.9,0.6,0.7,0.8,0.7,0.3,0.1,0.2,0.2,0.3,0.2
Plant & Machine Operators & Assemblers,60-64,2.6,1.3,1.6,1.7,2.4,1.4,2.3,1.9,1.9,2.1,1.6,1.7,1.3,1.3,1.4,1.2,0.8,0.6,0.7,0.8,0.4,0.5
"Cleaners, Labourers & Related Workers",60-64,17.9,16.4,14.4,14.9,16.9,19,17.5,16.8,15.2,15.3,14.5,12.4,10.9,10.4,8.5,8,4.8,5.5,5.5,5.4,5.4,4.2
Others,60-64,0.1,0.2,0.2,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.,0.,0.1,0.,0.,0.,0.
Managers & Administrators (Including Working Proprietors),65+,5.8,5.4,3.2,4.4,2.9,3.1,3.1,2.3,2.9,2.5,2,2,1.6,0.9,0.9,0.9,0.6,0.8,0.6,0.3,0.4,0.5
Professionals,65+,4.9,4.4,3.8,3.7,3.1,2.2,2.8,2.5,2,1.9,1.4,1.3,1,1,0.8,0.6,0.3,0.4,0.2,0.2,0.3,0.1
Associate Professionals & Technicians,65+,7.7,7,6.4,4.8,4.1,3.4,3,2.4,2.3,1.4,1.7,1.4,1,0.8,0.7,0.4,0.5,0.2,0.4,0.1,0.1,0.1
Clerical Support Workers,65+,14.6,13,10.8,9.7,7.2,7.3,5.9,5.1,5.7,3.5,3.5,1.6,1.1,1.1,0.8,0.8,0.4,0.4,0.2,0.4,0.2,0.1
Service & Sales Workers,65+,16.4,15.5,14.3,12.2,11.6,10.4,9.1,8,7.9,7,6,4.1,3.6,3.4,3.2,3.1,2,1.8,1.4,1.6,2.2,1.5
Craftsmen & Related Trade Workers,65+,1.8,1.6,1.6,1.5,1,0.9,0.8,0.8,0.6,0.7,1,0.6,0.8,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1
Plant & Machine Operators & Assemblers,65+,2,1.5,1.5,1.3,1.3,1.3,1.5,0.9,0.8,0.8,0.7,0.5,0.5,0.5,0.7,0.7,0.3,0.1,0.3,0.2,0.1,0.2
"Cleaners, Labourers & Related Workers",65+,30,29.2,27,23.9,24.1,24.5,21.6,21.8,18.9,15.4,12.3,12.8,9.5,9.3,8.6,7.4,3.8,4.1,4.4,3.6,3.2,2.8
Others,65+,0.3,0.3,0.1,0.2,0.2,0.1,0.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1,0.
